code;name;address;city
KIMDONG;Nhà xuất bản Kim Đồng;55 Quang Trung, Hai Bà Trưng;Hà Nội
GDVN;Nhà xuất bản giáo dục Việt Nam;Số 81 Trần Hưng Đạo, Hoàn Kiếm;Hà Nội
TRE;Nhà xuất bản Trẻ;161B Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3;Hồ Chí Minh
TONGHOP;Nhà xuất bản Tổng hợp thành phố Hồ Chí Minh;62 Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1;Hồ Chí Minh
DHQGHN;Nhà xuất bản Đại học Quốc Gia Hà Nội;16 Hàng Chuối, Phạm Đình Hổ, Hai Bà Trưng;Hà Nội
PHUNU;Nhà xuất bản Phụ nữ Việt Nam;39 Hàng Chuối, Q. Hai Bà Trưng;Hà Nội
CTQGST;Nhà xuất bản Chính trị Quốc gia - Sự thật;Số 6 Ngõ 86 Duy Tân, Dịch Vọng Hậu, Cầu Giấy;Hà Nội
HNV;Nhà xuất bản Hội nhà văn;Số 65 Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng;Hà Nội
HONGDUC;Nhà xuất bản Hồng Đức;Số 65 Tràng Thi, Phường Hàng Bông, Hoàn Kiếm;Hà Nội
